과목명,학수번호,분반,학점,담당교수,강의시간,종류,영역,combined
빅데이터로배우는성격심리학,0ARG1221,7,3.0,이상매,목2~4,일반교양,4.0,빅데이터로배우는성격심리학 / 0ARG1221 / 7 / 3.0 / 이상매 / 목2~4 / 일반교양 / 4.0
예술과AI,0ARG1242,7,2.0,이은영,월2~3,일반교양,4.0,예술과AI / 0ARG1242 / 7 / 2.0 / 이은영 / 월2~3 / 일반교양 / 4.0
현대사회의사운드아트,0ARG1269,7,2.0,이은영,목4~5,일반교양,4.0,현대사회의사운드아트 / 0ARG1269 / 7 / 2.0 / 이은영 / 목4~5 / 일반교양 / 4.0
자아탐색을위한자아실현,0ARG1325,7,2.0,데렉 존 토마스,수1~2,일반교양,4.0,자아탐색을위한자아실현 / 0ARG1325 / 7 / 2.0 / 데렉 존 토마스 / 수1~2 / 일반교양 / 4.0
AI시대예수읽기,0ARG1326,7,2.0,이승현,목6~7,일반교양,4.0,AI시대예수읽기 / 0ARG1326 / 7 / 2.0 / 이승현 / 목6~7 / 일반교양 / 4.0
문화속의과학기술과음악,0ARG1148,9,3.0,이은영,월5~7,일반교양,4.0,문화속의과학기술과음악 / 0ARG1148 / 9 / 3.0 / 이은영 / 월5~7 / 일반교양 / 4.0
공간이만드는심리세계,0ARG1280,9,2.0,정성욱,화2~3,일반교양,4.0,공간이만드는심리세계 / 0ARG1280 / 9 / 2.0 / 정성욱 / 화2~3 / 일반교양 / 4.0
전쟁과평화,0ARG1250,1,2.0,김기정,화3~4,일반교양,1.0,전쟁과평화 / 0ARG1250 / 1 / 2.0 / 김기정 / 화3~4 / 일반교양 / 1.0
가치로서의자연과인간,0ARB0135,2,2.0,이세진,목5~6,일반교양,1.0,가치로서의자연과인간 / 0ARB0135 / 2 / 2.0 / 이세진 / 목5~6 / 일반교양 / 1.0
실용생활중국어,0ARB5660,2,2.0,슈메이,목1~2,일반교양,1.0,실용생활중국어 / 0ARB5660 / 2 / 2.0 / 슈메이 / 목1~2 / 일반교양 / 1.0
기초중국어,0ARB5680,2,2.0,슈메이,월1~2,일반교양,1.0,기초중국어 / 0ARB5680 / 2 / 2.0 / 슈메이 / 월1~2 / 일반교양 / 1.0
비즈니스중국어,0ARB5691,2,2.0,슈메이,목3~4,일반교양,1.0,비즈니스중국어 / 0ARB5691 / 2 / 2.0 / 슈메이 / 목3~4 / 일반교양 / 1.0
초급영작문,0ARB5720,2,2.0,브라이언,목7~8,일반교양,1.0,초급영작문 / 0ARB5720 / 2 / 2.0 / 브라이언 / 목7~8 / 일반교양 / 1.0
초급생활독일어,0ARG1051,2,2.0,문윤덕,수3~4,일반교양,1.0,초급생활독일어 / 0ARG1051 / 2 / 2.0 / 문윤덕 / 수3~4 / 일반교양 / 1.0
한국어읽기2,0ARG1070,2,2.0,윤은영,수3~4,일반교양,1.0,한국어읽기2 / 0ARG1070 / 2 / 2.0 / 윤은영 / 수3~4 / 일반교양 / 1.0
한국어읽기1,0ARG1108,2,2.0,정다정,화5~6,일반교양,1.0,한국어읽기1 / 0ARG1108 / 2 / 2.0 / 정다정 / 화5~6 / 일반교양 / 1.0
한국사,0ARB0205,2,2.0,노혜경,화3~4,일반교양,1.0,한국사 / 0ARB0205 / 2 / 2.0 / 노혜경 / 화3~4 / 일반교양 / 1.0
취업중국어,0ARB5685,2,2.0,슈메이,월3~4,일반교양,1.0,취업중국어 / 0ARB5685 / 2 / 2.0 / 슈메이 / 월3~4 / 일반교양 / 1.0
그리스로마신화,0ARB6550,2,2.0,문윤덕,화5~6,일반교양,1.0,그리스로마신화 / 0ARB6550 / 2 / 2.0 / 문윤덕 / 화5~6 / 일반교양 / 1.0
영화분석과리뷰,0ARG1023,2,2.0,강만진,수6~7,일반교양,1.0,영화분석과리뷰 / 0ARG1023 / 2 / 2.0 / 강만진 / 수6~7 / 일반교양 / 1.0
세계사,0ARG1030,2,2.0,데이비드 데보라,목4~5,일반교양,1.0,세계사 / 0ARG1030 / 2 / 2.0 / 데이비드 데보라 / 목4~5 / 일반교양 / 1.0
현대미술과애니메이션,0ARG1049,2,2.0,김윤경,수1~2,일반교양,1.0,현대미술과애니메이션 / 0ARG1049 / 2 / 2.0 / 김윤경 / 수1~2 / 일반교양 / 1.0
전쟁과인간,0ARG1061,2,2.0,노혜경,화1~2,일반교양,1.0,전쟁과인간 / 0ARG1061 / 2 / 2.0 / 노혜경 / 화1~2 / 일반교양 / 1.0
스타일과트렌드(A),0ARG1088,2,2.0,이철재,화5~6,일반교양,1.0,스타일과트렌드(A) / 0ARG1088 / 2 / 2.0 / 이철재 / 화5~6 / 일반교양 / 1.0
에어로빅댄스와유산소운동이해,0ARG1089,2,2.0,이경주,수5~6,일반교양,1.0,에어로빅댄스와유산소운동이해 / 0ARG1089 / 2 / 2.0 / 이경주 / 수5~6 / 일반교양 / 1.0
퍼스널트레이닝과바디세이핑,0ARG1090,2,2.0,김경식,화5~6,일반교양,1.0,퍼스널트레이닝과바디세이핑 / 0ARG1090 / 2 / 2.0 / 김경식 / 화5~6 / 일반교양 / 1.0
미래사회와협상의기술,0ARG1097,2,2.0,조상섭,목7~8,일반교양,1.0,미래사회와협상의기술 / 0ARG1097 / 2 / 2.0 / 조상섭 / 목7~8 / 일반교양 / 1.0
알기쉬운인간의이해,0ARG1136,2,2.0,이만수,목7~8,일반교양,1.0,알기쉬운인간의이해 / 0ARG1136 / 2 / 2.0 / 이만수 / 목7~8 / 일반교양 / 1.0
심신균형미학과요가필라,0ARG1152,2,2.0,이경주,화5~6,일반교양,1.0,심신균형미학과요가필라 / 0ARG1152 / 2 / 2.0 / 이경주 / 화5~6 / 일반교양 / 1.0
생각정리의기술,0ARG1237,2,2.0,전영미,목5~6,일반교양,1.0,생각정리의기술 / 0ARG1237 / 2 / 2.0 / 전영미 / 목5~6 / 일반교양 / 1.0
근대예술의이해:마네에서달리까지,0ARG1246,2,2.0,브라이언,화1~2,일반교양,1.0,근대예술의이해:마네에서달리까지 / 0ARG1246 / 2 / 2.0 / 브라이언 / 화1~2 / 일반교양 / 1.0
한국고전시가의산책,0ARG1249,2,2.0,이정선,수5~6,일반교양,1.0,한국고전시가의산책 / 0ARG1249 / 2 / 2.0 / 이정선 / 수5~6 / 일반교양 / 1.0
전쟁과평화,0ARG1250,2,2.0,정재욱,수7~8,일반교양,1.0,전쟁과평화 / 0ARG1250 / 2 / 2.0 / 정재욱 / 수7~8 / 일반교양 / 1.0
인간과아름다움,0ARG1262,2,2.0,장동석,월3~4,일반교양,1.0,인간과아름다움 / 0ARG1262 / 2 / 2.0 / 장동석 / 월3~4 / 일반교양 / 1.0
티볼이론과실제,0ARG1263,2,2.0,유상석,월6~7,일반교양,1.0,티볼이론과실제 / 0ARG1263 / 2 / 2.0 / 유상석 / 월6~7 / 일반교양 / 1.0
한국아동문학의이해,0ARG1265,2,2.0,김찬곤,화5~6,일반교양,1.0,한국아동문학의이해 / 0ARG1265 / 2 / 2.0 / 김찬곤 / 화5~6 / 일반교양 / 1.0
광고심리학,0ARG1278,2,2.0,다니엘와이버그,화3~4,일반교양,1.0,광고심리학 / 0ARG1278 / 2 / 2.0 / 다니엘와이버그 / 화3~4 / 일반교양 / 1.0
문화적다양성과공존의지혜,0ARG1308,2,2.0,정영기,월7~8,일반교양,1.0,문화적다양성과공존의지혜 / 0ARG1308 / 2 / 2.0 / 정영기 / 월7~8 / 일반교양 / 1.0
노화와신체활동,0ARG1318,2,2.0,이준우,금2~3,일반교양,1.0,노화와신체활동 / 0ARG1318 / 2 / 2.0 / 이준우 / 금2~3 / 일반교양 / 1.0
스토리텔링의인문학적이해,0ARG1322,2,2.0,전하영,화4~5,일반교양,1.0,스토리텔링의인문학적이해 / 0ARG1322 / 2 / 2.0 / 전하영 / 화4~5 / 일반교양 / 1.0
이야기로배우는영어,0ARG1324,2,2.0,전하영,목3~4,일반교양,1.0,이야기로배우는영어 / 0ARG1324 / 2 / 2.0 / 전하영 / 목3~4 / 일반교양 / 1.0
수학자로소통하기,0ARG1337,2,2.0,이형주,화5~6,일반교양,1.0,수학자로소통하기 / 0ARG1337 / 2 / 2.0 / 이형주 / 화5~6 / 일반교양 / 1.0
창의적인사고와시각문화예술,0ARG1339,2,2.0,피터안토니,화5~6,일반교양,1.0,창의적인사고와시각문화예술 / 0ARG1339 / 2 / 2.0 / 피터안토니 / 화5~6 / 일반교양 / 1.0
서양영화를통한21세기사회의이해,0ARG1344,2,2.0,조나단 레이커,수3~4,일반교양,1.0,서양영화를통한21세기사회의이해 / 0ARG1344 / 2 / 2.0 / 조나단 레이커 / 수3~4 / 일반교양 / 1.0
대학생활의이해,0ARG1346,2,2.0,김지나,목5~6,일반교양,1.0,대학생활의이해 / 0ARG1346 / 2 / 2.0 / 김지나 / 목5~6 / 일반교양 / 1.0
실용생활중국어,0ARB5660,3,2.0,치아오 춘옌,월3~4,일반교양,1.0,실용생활중국어 / 0ARB5660 / 3 / 2.0 / 치아오 춘옌 / 월3~4 / 일반교양 / 1.0
금융의이해와활용,0ARG1198,1,3.0,이소영,화5~7,일반교양,2.0,금융의이해와활용 / 0ARG1198 / 1 / 3.0 / 이소영 / 화5~7 / 일반교양 / 2.0
생태적관점의평화교육,0ARG1301,1,2.0,박미경,수5~6,일반교양,2.0,생태적관점의평화교육 / 0ARG1301 / 1 / 2.0 / 박미경 / 수5~6 / 일반교양 / 2.0
한국어듣기,0ARG1079,2,2.0,정다정,화7~8,일반교양,2.0,한국어듣기 / 0ARG1079 / 2 / 2.0 / 정다정 / 화7~8 / 일반교양 / 2.0
한국어말하기1,0ARG1080,2,2.0,윤은영,수1~2,일반교양,2.0,한국어말하기1 / 0ARG1080 / 2 / 2.0 / 윤은영 / 수1~2 / 일반교양 / 2.0
한국어말하기2,0ARG1081,2,2.0,김승자,월3~4,일반교양,2.0,한국어말하기2 / 0ARG1081 / 2 / 2.0 / 김승자 / 월3~4 / 일반교양 / 2.0
한국어쓰기,0ARG1082,2,2.0,윤은영,수5~6,일반교양,2.0,한국어쓰기 / 0ARG1082 / 2 / 2.0 / 윤은영 / 수5~6 / 일반교양 / 2.0
리더십(벤처),0ARG1143,2,2.0,곽정근,월7~8,일반교양,2.0,리더십(벤처) / 0ARG1143 / 2 / 2.0 / 곽정근 / 월7~8 / 일반교양 / 2.0
현대사회와인간복지,0ARB0150,2,2.0,김형수,금3~4,일반교양,2.0,현대사회와인간복지 / 0ARB0150 / 2 / 2.0 / 김형수 / 금3~4 / 일반교양 / 2.0
생활법률,0ARB0300,2,2.0,정영훈,금2~3,일반교양,2.0,생활법률 / 0ARB0300 / 2 / 2.0 / 정영훈 / 금2~3 / 일반교양 / 2.0
경영학기초,0ARB1221,2,2.0,박설호,화2~3,일반교양,2.0,경영학기초 / 0ARB1221 / 2 / 2.0 / 박설호 / 화2~3 / 일반교양 / 2.0
현대통상의이해,0ARB1900,2,2.0,이상직,수3~4,일반교양,2.0,현대통상의이해 / 0ARB1900 / 2 / 2.0 / 이상직 / 수3~4 / 일반교양 / 2.0
서양중세문화,0ARB2450,2,2.0,문윤덕,수6~7,일반교양,2.0,서양중세문화 / 0ARB2450 / 2 / 2.0 / 문윤덕 / 수6~7 / 일반교양 / 2.0
중국의문화코드,0ARB2590,2,2.0,전가림,수4~5,일반교양,2.0,중국의문화코드 / 0ARB2590 / 2 / 2.0 / 전가림 / 수4~5 / 일반교양 / 2.0
영미문화의이해,0ARB6760,2,2.0,다니엘베리,화1~2,일반교양,2.0,영미문화의이해 / 0ARB6760 / 2 / 2.0 / 다니엘베리 / 화1~2 / 일반교양 / 2.0
중국경제지리,0ARB9015,2,2.0,전가림,목4~5,일반교양,2.0,중국경제지리 / 0ARB9015 / 2 / 2.0 / 전가림 / 목4~5 / 일반교양 / 2.0
기업가정신,0ARB9510,2,2.0,최인우,수5~6,일반교양,2.0,기업가정신 / 0ARB9510 / 2 / 2.0 / 최인우 / 수5~6 / 일반교양 / 2.0
경제의기초와생활,0ARG1005,2,2.0,이상직,수5~6,일반교양,2.0,경제의기초와생활 / 0ARG1005 / 2 / 2.0 / 이상직 / 수5~6 / 일반교양 / 2.0
이야기형법,0ARG1035,2,2.0,정영훈,목2~3,일반교양,2.0,이야기형법 / 0ARG1035 / 2 / 2.0 / 정영훈 / 목2~3 / 일반교양 / 2.0
현대사회와패션문화,0ARG1083,2,2.0,안은재,화7~8,일반교양,2.0,현대사회와패션문화 / 0ARG1083 / 2 / 2.0 / 안은재 / 화7~8 / 일반교양 / 2.0
국기태권도,0ARG1091,2,2.0,김인재,목5~6,일반교양,2.0,국기태권도 / 0ARG1091 / 2 / 2.0 / 김인재 / 목5~6 / 일반교양 / 2.0
뉴스포츠의이론과실제,0ARG1092,2,2.0,유상석,화6~7,일반교양,2.0,뉴스포츠의이론과실제 / 0ARG1092 / 2 / 2.0 / 유상석 / 화6~7 / 일반교양 / 2.0
